YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
195701,1,-2.44047619,-5.877342419,January,3.436866229
195702,2,-3.518518519,-6.990482102,February,3.471963584
195703,3,-7.288888889,-3.841269841,March,-3.447619048
195704,4,1.638888889,2.427875244,April,-0.788986355
195705,5,8.274853801,9.522613065,May,-1.247759264
195706,6,12.40740741,14.71189774,June,-2.304490331
195707,7,17.83333333,16.49888143,July,1.334451902
195708,8,15.35842294,15.02207506,August,0.336347884
195709,9,9.37037037,9.91091954,September,-0.54054917
195710,10,5.651340996,4.947222222,October,0.704118774
195711,11,0.823754789,0.323512421,November,0.500242369
195712,12,-2.025089606,-4.168044077,December,2.142954471
195801,1,-8.315412186,-5.877342419,January,-2.438069767
195802,2,-9.464285714,-6.990482102,February,-2.473803612
195803,3,-7.580645161,-3.841269841,March,-3.73937532
195804,4,1.018518519,2.427875244,April,-1.409356725
195805,5,8.225806452,9.522613065,May,-1.296806614
195806,6,13.38888889,14.71189774,June,-1.32300885
195807,7,15.34050179,16.49888143,July,-1.15837964
195808,8,14.51612903,15.02207506,August,-0.505946023
195809,9,10.40740741,9.91091954,September,0.496487867
195810,10,6.111111111,4.947222222,October,1.163888889
195811,11,3.185185185,0.323512421,November,2.861672765
195812,12,-6.612903226,-4.168044077,December,-2.444859149
195901,1,-5.148148148,-5.877342419,January,0.729194271
195902,2,-2.361111111,-6.990482102,February,4.629370991
195903,3,0.322580645,-3.841269841,March,4.163850486
195904,4,3.87037037,2.427875244,April,1.442495127
195905,5,9.695340502,9.522613065,May,0.172727436
195906,6,15.07407407,14.71189774,June,0.362176336
195907,7,17.83154122,16.49888143,July,1.332659787
195908,8,16.96581197,15.02207506,August,1.943736911
195909,9,8.812260536,9.91091954,September,-1.098659004
195910,10,4.76702509,4.947222222,October,-0.180197133
195911,11,1.407407407,0.323512421,November,1.083894987
195912,12,-5.148148148,-4.168044077,December,-0.980104071
196001,1,-10.22988506,-5.877342419,January,-4.352542638
196002,2,-8.927203065,-6.990482102,February,-1.936720963
196003,3,-4.58781362,-3.841269841,March,-0.746543779
196004,4,1.851851852,2.427875244,April,-0.576023392
196005,5,10.98148148,9.522613065,May,1.458868416
196006,6,16.27777778,14.71189774,June,1.565880039
196007,7,18.0651341,16.49888143,July,1.566252668
196008,8,15.10752688,15.02207506,August,0.085451827
196009,9,10.11111111,9.91091954,September,0.200191571
196010,10,3.279569892,4.947222222,October,-1.66765233
196011,11,-0.685185185,0.323512421,November,-1.008697606
196012,12,-0.322580645,-4.168044077,December,3.845463432
196101,1,-3.648148148,-5.877342419,January,2.229194271
196102,2,-0.357142857,-6.990482102,February,6.633339245
196103,3,0.358422939,-3.841269841,March,4.19969278
196104,4,2.62962963,2.427875244,April,0.201754386
196105,5,9.892473118,9.522613065,May,0.369860053
196106,6,17,14.71189774,June,2.288102262
196107,7,15.86021505,16.49888143,July,-0.638666378
196108,8,14.17562724,15.02207506,August,-0.846447815
196109,9,9.722222222,9.91091954,September,-0.188697318
196110,10,8.655913978,4.947222222,October,3.708691756
196111,11,1.722222222,0.323512421,November,1.398709802
196112,12,-5.071684588,-4.168044077,December,-0.903640511
196201,1,-3.655913978,-5.877342419,January,2.221428441
